feature_key,count
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|1|128|0|0|0|0|0|0,9322
00:1e:49:db:19:c3|08:00:27:e2:09:2d|147.32.84.191|147.32.96.69|1|128|0|0|0|0|0|0,3699
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|1043|161,2275
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|0|0,2274
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|65160|0|0,2249
08:00:27:b5:b7:19|00:1e:49:db:19:c3|218.29.42.137|147.32.84.165|6|43|80|1072|A|6432|0|0,1130
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|64240|0|0,930
08:00:27:b5:b7:19|00:1e:49:db:19:c3|91.212.135.158|147.32.84.165|6|48|5678|1040|A|65535|0|0,631
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|137|137,132
00:1e:49:db:19:c3|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,86
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1058|80|A|64240|0|0,80
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1049|80|A|64240|0|0,76
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1057|80|A|64240|0|0,62
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1054|80|A|64240|0|0,60
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1061|80|A|64240|0|0,60
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.80.9|17|128|0|0|0|0|1025|53,54
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1050|80|A|64240|0|0,54
08:00:27:b5:b7:19|00:1e:49:db:19:c3|0|0|0|0|0|0|0|0|0|0,51
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1056|80|A|64240|0|0,50
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1066|80|A|64240|0|0,48
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1063|80|A|64240|0|0,46
ff:ff:ff:ff:ff:ff|08:00:27:e2:09:2d|147.32.84.191|147.32.84.255|17|128|0|0|0|0|137|137,46
ff:ff:ff:ff:ff:ff|08:00:27:1f:65:4a|147.32.84.192|147.32.84.255|17|128|0|0|0|0|137|137,46
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1055|80|A|64240|0|0,42
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|138|138,40
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|62780|0|0,30
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2566|PA|63991|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3376|PA|63983|0|0,28
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1064|80|A|64240|0|0,28
08:00:27:b5:b7:19|00:1e:49:db:19:c3|147.32.80.9|147.32.84.165|17|62|0|0|0|0|53|1025,27
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1062|80|A|64240|0|0,26
6c:f0:49:ec:bf:09|08:00:27:b5:b7:19|147.32.84.165|147.32.84.79|1|128|0|0|0|0|0|0,25
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2826|A|63985|0|0,24
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2566|A|63991|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|2826|PA|63985|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3376|A|63983|0|0,22
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|90.177.113.3|6|128|3389|3509|A|63981|0|0,22
