feature_key,count
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|1|128|0|0|0|0|0|0,428292
00:1e:49:db:19:c3|08:00:27:e2:09:2d|147.32.84.191|147.32.96.69|1|128|0|0|0|0|0|0,398270
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|1043|161,139451
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.96.69|17|128|0|0|0|0|0|0,115826
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|65160|0|0,12405
08:00:27:b5:b7:19|00:1e:49:db:19:c3|218.29.42.137|147.32.84.165|6|43|80|1072|A|6432|0|0,6317
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|91.212.135.158|6|128|1040|5678|A|64240|0|0,930
08:00:27:b5:b7:19|00:1e:49:db:19:c3|91.212.135.158|147.32.84.165|6|48|5678|1040|A|65535|0|0,631
00:1e:49:db:19:c3|08:00:27:b5:b7:19|0|0|0|0|0|0|0|0|0|0,413
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|147.32.80.9|17|128|0|0|0|0|1025|53,335
08:00:27:b5:b7:19|00:1e:49:db:19:c3|0|0|0|0|0|0|0|0|0|0,221
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|137|137,170
ff:ff:ff:ff:ff:ff|08:00:27:b5:b7:19|147.32.84.165|147.32.84.255|17|128|0|0|0|0|138|138,108
08:00:27:b5:b7:19|00:1e:49:db:19:c3|147.32.80.9|147.32.84.165|17|62|0|0|0|0|53|1025,94
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1058|80|A|64240|0|0,80
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|123.126.51.33|6|128|1049|80|A|64240|0|0,76
00:1e:49:db:19:c3|08:00:27:b5:b7:19|147.32.84.165|218.29.42.137|6|128|1072|80|A|63712|0|0,70
