image,total,unique,top80,cov5_pct,cov20_pct
ISCX_VPN_12f,593836,64489,1424,83.84486625937127,89.76097777837651
CTU-13_12f,30000,2600,45,82.57333333333334,88.5
MAWI_3f_7.5M,7500000,97559,279,93.90368,97.3374
MAWI_8f_full,3553292,432098,2405,85.96875798555256,90.27161291557238
MAWI_8f_500K,500000,112872,15969,74.4076,81.9406
USTC_3f,110000,16293,1288,72.76181818181819,86.97636363636364
CIC-IDS-2017_13f,3461718,2340395,1648052,35.55824015705497,45.913705275819694
NSL-KDD_8f,148517,404,23,78.99634385289225,94.69892335557546
UNSW-NB15_7f,257673,302,12,85.50294365339015,94.34787501988954
IOT23_12f,255000,117350,66350,32.883529411764705,55.295686274509805
IOT23_3f_svc,255000,13141,8,92.80509803921568,95.87764705882353
IOT23_5f_win,255000,15897,12,91.5643137254902,94.95058823529412
IOT23_6f_88b,255000,17445,12,90.65764705882353,94.52745098039216
IOT23_8f_srcIP,255000,19938,13,90.01725490196078,93.66078431372549
IOT23_8f_noFlags,255000,35064,8035,66.9435294117647,77.99764705882353
IOT23_8f_noWin,255000,35832,8364,66.27058823529411,77.65372549019608
IOT23_8f_l4full,255000,40182,9438,65.7721568627451,77.58980392156862
IOT23_10f_noMAC,255000,117319,66319,32.917647058823526,55.31137254901961
