name,total,unique,cov_1,cov_5,cov_10,cov_20,is_pareto
ISCX_VPN_12f,593836,64489,74.76929657346473,83.84486625937127,86.77833610626503,89.76097777837651,True
CTU-13_12f,30000,2600,78.67,82.57333333333334,85.03333333333333,88.5,True
MAWI_3f_7.5M,7500000,97559,88.32750666666666,93.90368,95.59696,97.3374,True
MAWI_8f_full,3553292,432098,81.83425398194125,85.96875798555256,87.93890285402945,90.27161291557238,True
MAWI_8f_500K,500000,112872,63.9564,74.4076,78.12780000000001,81.9406,True
USTC_3f,110000,16293,53.809090909090905,72.76181818181819,82.48272727272727,86.97636363636364,True
CIC-IDS-2017_13f,3461718,2340395,28.789953427748884,35.55824015705497,39.152900380678034,45.913705275819694,False
NSL-KDD_8f,148517,404,53.91638667627275,78.99634385289225,86.61365365581044,94.69892335557546,True
UNSW-NB15_7f,257673,302,55.255304203389564,85.50294365339015,92.54908352834794,94.34787501988954,True
IOT23_12f,255000,117350,23.679607843137255,32.883529411764705,42.92862745098039,55.295686274509805,False
IOT23_3f_svc,255000,13141,89.65490196078431,92.80509803921568,94.62862745098039,95.87764705882353,True
IOT23_5f_win,255000,15897,88.85450980392157,91.5643137254902,93.34549019607843,94.95058823529412,True
IOT23_6f_88b,255000,17445,88.6686274509804,90.65764705882353,92.6564705882353,94.52745098039216,True
IOT23_8f_srcIP,255000,19938,88.23607843137255,90.01725490196078,91.81411764705882,93.66078431372549,True
IOT23_8f_noFlags,255000,35064,61.716078431372544,66.9435294117647,71.12313725490196,77.99764705882353,False
IOT23_8f_noWin,255000,35832,61.744705882352946,66.27058823529411,70.62823529411764,77.65372549019608,False
IOT23_8f_l4full,255000,40182,61.654117647058825,65.7721568627451,69.71137254901961,77.58980392156862,False
IOT23_10f_noMAC,255000,117319,23.71764705882353,32.917647058823526,42.95529411764706,55.31137254901961,False
