key,count
"((np.float64(167746769803311.0), np.float64(203050739936115.0), np.float64(2048.0), np.float64(2211115094.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(49624.0), np.float64(40273.0)), 0)",61586
"((np.float64(203050739936115.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115094.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(40273.0), np.float64(49624.0)), 0)",50198
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(17208.0), np.float64(62838.0)), 0)",16729
"((np.float64(8796755037282.0), np.float64(90520731923714.0), np.float64(2048.0), np.float64(2211115109.0), np.float64(167772687.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(44106.0), np.float64(54186.0)), 0)",16298
"((np.float64(90520731923714.0), np.float64(8796755037282.0), np.float64(2048.0), np.float64(167772687.0), np.float64(2211115109.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(54186.0), np.float64(44106.0)), 0)",16263
"((np.float64(281474976710655.0), np.float64(256079677908304.0), np.float64(2054.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0)), 0)",16053
"((np.float64(203050739702946.0), np.float64(203050739697615.0), np.float64(2048.0), np.float64(2211115250.0), np.float64(2211115095.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(62838.0), np.float64(17208.0)), 0)",15861
"((np.float64(8796755037282.0), np.float64(90520731923714.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(167772687.0), np.float64(6.0), np.float64(64.0), np.float64(21209.0), np.float64(49929.0), np.float64(16.0), np.float64(65535.0), np.float64(0.0), np.float64(0.0)), 0)",14444
"((np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(3516189987.0), np.float64(168298634.0), np.float64(6.0), np.float64(50.0), np.float64(443.0), np.float64(42010.0), np.float64(16.0), np.float64(535.0), np.float64(0.0), np.float64(0.0)), 1)",14194
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(51425.0), np.float64(38633.0)), 0)",13422
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(51706.0), np.float64(43584.0)), 0)",13019
"((np.float64(203050739702946.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115095.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(43584.0), np.float64(51706.0)), 0)",13011
"((np.float64(203050739702946.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115095.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(38633.0), np.float64(51425.0)), 0)",12993
"((np.float64(167746769803311.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115158.0), np.float64(17.0), np.float64(128.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(50768.0), np.float64(38766.0)), 0)",11212
"((np.float64(203050739702946.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2211115095.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(38766.0), np.float64(50768.0)), 0)",11197
"((np.float64(256079677908304.0), np.float64(167746769803311.0), np.float64(2048.0), np.float64(2211115158.0), np.float64(2915225471.0), np.float64(17.0), np.float64(64.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(57937.0), np.float64(19305.0)), 0)",11182
"((np.float64(203050739702946.0), np.float64(256079677908304.0), np.float64(2048.0), np.float64(2915191935.0), np.float64(2211115095.0), np.float64(17.0), np.float64(46.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(0.0), np.float64(19305.0), np.float64(53171.0)), 0)",10832
"((np.float64(203050739697615.0), np.float64(203050739702946.0), np.float64(2048.0), np.float64(2211115095.0), np.float64(2211115250.0), np.float64(6.0), np.float64(128.0), np.float64(38033.0), np.float64(22.0), np.float64(16.0), np.float64(32768.0), np.float64(0.0), np.float64(0.0)), 0)",10330
