image,total,unique,top80,cov5_pct,cov20_pct
ISCX_VPN_12f,593836,64489,1424,83.84486625937127,89.76097777837651
CTU-13_12f,30000,2600,45,82.57333333333334,88.5
MAWI_3f_7.5M,7500000,97559,279,93.90368,97.3374
MAWI_8f_500K,500000,112872,15969,74.4076,81.9406
USTC_3f,110000,16293,1288,72.76181818181819,86.97636363636364
CIC-IDS-2017_13f,3461718,14289,438,86.6146231437685,97.64293336430062
NSL-KDD_8f,148517,404,23,78.99634385289225,94.69892335557546
UNSW-NB15_7f,257673,302,12,85.50294365339015,94.34787501988954
MAWI_3f_svc,500000,27560,572,86.882,93.2988
MAWI_8f_noIP,500000,112872,15969,74.4076,81.9406
USTC_3f_svc,110000,16293,1288,72.76181818181819,86.97636363636364
USTC_10f_noMAC,110000,59739,37739,40.87,56.553636363636365
USTC_7f_5tuple,110000,44248,22248,48.38090909090909,67.49909090909091
USTC_4f_dstSvc,110000,37859,15859,59.85909090909091,72.46636363636364
USTC_4f_portOnly,110000,36544,14544,51.371818181818185,71.07545454545455
NSL-KDD_3f_cat,148517,345,21,78.3371600557512,93.847169010955
NSL-KDD_8f_disc,148517,404,23,78.99634385289225,94.69892335557546
NSL-KDD_5f_svc,148517,15128,1555,72.45500515092547,86.61702027377338
UNSW_3f_cat,257673,173,8,84.1058240483093,94.04671812723878
UNSW_7f_disc,257673,302,12,85.50294365339015,94.34787501988954
UNSW_6f_svc,257673,9500,1636,61.3040559158313,82.12851171834069
UNSW_6f_conn,257673,269,12,83.3878598068094,93.96405521727152
MAWI_8f_full,3553292,431332,2402,86,90.3
